IsBadBuy,VehicleAge,PriceDifferential, UsageIntensity ,IsManual
1.00,5.00,0.00," 17,377.80 ",0.00
0.00,6.00,-586.00," 11,498.33 ",0.00
0.00,2.00,-1149.00," 40,474.50 ",0.00
0.00,6.00,-1420.00," 8,795.67 ",0.00
1.00,6.00,0.00," 12,031.83 ",0.00
0.00,7.00,-189.00," 8,551.14 ",0.00
1.00,8.00,0.00," 9,947.00 ",0.00
1.00,6.00,546.00," 12,215.17 ",0.00
1.00,4.00,0.00," 12,556.75 ",0.00
0.00,7.00,246.00," 11,735.14 ",0.00
0.00,4.00,-194.00," 14,506.00 ",1.00
0.00,4.00,-733.00," 10,229.75 ",0.00
0.00,5.00,-1044.00," 17,528.60 ",0.00
0.00,5.00,-576.00," 16,193.60 ",1.00
0.00,4.00,-662.00," 12,577.00 ",0.00
0.00,3.00,-504.00," 26,931.67 ",0.00
0.00,4.00,0.00," 15,559.75 ",0.00
1.00,6.00,-447.00," 14,501.33 ",0.00
0.00,4.00,-446.00," 16,015.00 ",0.00
0.00,8.00,-759.00," 9,709.63 ",0.00
0.00,7.00,63.00," 8,412.57 ",0.00
0.00,4.00,-1232.00," 15,889.25 ",0.00
1.00,7.00,577.00," 12,860.86 ",0.00
0.00,5.00,-1081.00," 17,941.00 ",0.00
0.00,6.00,-32.00," 10,751.83 ",0.00
1.00,5.00,806.00," 15,102.60 ",0.00
0.00,4.00,181.00," 20,152.00 ",0.00
1.00,9.00,-365.00," 10,617.56 ",0.00
0.00,3.00,-432.00," 11,932.00 ",0.00
0.00,4.00,-19.00," 20,875.25 ",0.00
0.00,3.00,-367.00," 23,382.67 ",0.00
0.00,4.00,-231.00," 19,013.00 ",0.00
0.00,4.00,-819.00," 18,119.75 ",0.00
0.00,5.00,-499.00," 16,908.40 ",0.00
0.00,5.00,-1262.00," 12,216.20 ",0.00
1.00,9.00,-1116.00," 9,609.22 ",0.00
0.00,4.00,-371.00," 10,974.50 ",0.00
0.00,4.00,-334.00," 14,334.50 ",0.00
1.00,7.00,-252.00," 8,489.29 ",0.00
0.00,5.00,-456.00," 15,991.40 ",0.00
0.00,7.00,-754.00," 11,222.71 ",0.00
0.00,3.00,-863.00," 16,128.67 ",0.00
0.00,7.00,-1534.00," 11,445.29 ",0.00
0.00,6.00,-356.00," 10,965.83 ",1.00
0.00,5.00,-412.00," 10,229.00 ",0.00
0.00,6.00,62.00," 14,727.67 ",0.00
0.00,5.00,-970.00," 11,181.80 ",0.00
0.00,5.00,484.00," 17,340.40 ",0.00
0.00,4.00,-212.00," 20,356.00 ",0.00
0.00,6.00,-1043.00," 10,896.50 ",0.00
0.00,6.00,-745.00," 12,492.33 ",0.00
0.00,8.00,-1123.00," 6,166.00 ",0.00
0.00,7.00,-554.00," 10,544.29 ",1.00
0.00,3.00,-675.00," 14,470.67 ",0.00
0.00,6.00,87.00," 13,068.67 ",0.00
0.00,6.00,-1168.00," 12,337.67 ",0.00
1.00,8.00,-905.00," 8,102.75 ",0.00
0.00,6.00,-855.00," 13,415.17 ",0.00
0.00,5.00,0.00," 17,000.60 ",0.00
0.00,4.00,-379.00," 16,427.75 ",0.00
0.00,5.00,-720.00," 11,212.80 ",0.00
0.00,4.00,-1029.00," 15,557.50 ",0.00
0.00,3.00,-199.00," 20,730.00 ",0.00
0.00,5.00,-566.00," 13,485.20 ",0.00
0.00,6.00,-305.00," 12,634.33 ",0.00
0.00,5.00,-9.00," 17,798.20 ",0.00
0.00,3.00,-3032.00," 29,949.67 ",0.00
0.00,4.00,-350.00," 20,334.50 ",0.00
0.00,5.00,-284.00," 16,015.40 ",0.00
0.00,8.00,-27.00," 9,654.13 ",0.00
0.00,5.00,-195.00," 13,336.20 ",0.00
0.00,9.00,-352.00," 9,169.56 ",0.00
0.00,3.00,101.00," 27,310.00 ",0.00
0.00,4.00,1783.00," 18,532.75 ",0.00
0.00,7.00,51.00," 10,345.29 ",0.00
0.00,3.00,-245.00," 21,372.67 ",0.00
0.00,5.00,-498.00," 14,284.60 ",0.00
0.00,6.00,-204.00," 10,775.00 ",0.00
0.00,5.00,-419.00," 17,077.60 ",0.00
0.00,6.00,192.00," 15,907.17 ",0.00
0.00,4.00,956.00," 17,334.25 ",0.00
0.00,3.00,154.00," 15,521.00 ",0.00
0.00,6.00,-983.00," 14,150.83 ",1.00
0.00,3.00,-366.00," 23,687.33 ",0.00
0.00,4.00,-418.00," 20,249.75 ",0.00
0.00,3.00,-2178.00," 22,181.67 ",0.00
0.00,6.00,708.00," 11,297.50 ",1.00
0.00,3.00,-330.00," 23,984.00 ",0.00
0.00,4.00,511.00," 17,685.25 ",0.00
0.00,7.00,266.00," 13,474.00 ",0.00
0.00,5.00,908.00," 13,888.00 ",0.00
0.00,5.00,22.00," 10,853.60 ",0.00
1.00,7.00,0.00," 8,438.86 ",0.00
0.00,6.00,1068.00," 14,338.00 ",0.00
0.00,6.00,-37.00," 10,779.50 ",0.00
0.00,7.00,163.00," 9,839.14 ",0.00
1.00,7.00,227.00," 9,222.00 ",0.00
0.00,5.00,2270.00," 14,797.60 ",1.00
0.00,4.00,160.00," 5,970.25 ",1.00
0.00,3.00,531.00," 16,844.00 ",0.00
1.00,5.00,350.00," 12,110.80 ",0.00
0.00,7.00,741.00," 13,079.71 ",0.00
1.00,9.00,-430.00," 7,041.89 ",0.00
0.00,6.00,80.00," 9,898.50 ",0.00
0.00,3.00,-106.00," 14,789.00 ",0.00
0.00,5.00,661.00," 8,903.00 ",0.00
0.00,9.00,330.00," 9,248.67 ",0.00
0.00,8.00,223.00," 11,566.50 ",0.00
0.00,3.00,548.00," 22,721.67 ",0.00
0.00,6.00,262.00," 14,629.17 ",0.00
0.00,9.00,215.00," 9,601.56 ",0.00
0.00,4.00,823.00," 9,035.50 ",0.00
0.00,6.00,375.00," 13,464.67 ",0.00
0.00,5.00,-269.00," 18,669.20 ",0.00
1.00,3.00,204.00," 24,654.33 ",0.00
0.00,3.00,607.00," 22,727.67 ",0.00
0.00,5.00,612.00," 12,967.80 ",0.00
0.00,8.00,-210.00," 9,435.50 ",1.00
0.00,6.00,-692.00," 9,881.17 ",0.00
0.00,4.00,141.00," 15,787.75 ",0.00
0.00,5.00,-442.00," 9,339.00 ",0.00
0.00,7.00,78.00," 8,413.86 ",0.00
0.00,5.00,-44.00," 13,072.60 ",0.00
0.00,8.00,-150.00," 9,404.63 ",0.00
0.00,4.00,238.00," 21,260.50 ",0.00
0.00,4.00,662.00," 21,925.25 ",0.00
0.00,7.00,350.00," 13,259.43 ",0.00
0.00,7.00,787.00," 13,888.71 ",0.00
0.00,5.00,349.00," 14,745.20 ",0.00
0.00,5.00,941.00," 9,510.00 ",0.00
0.00,6.00,818.00," 10,513.17 ",0.00
0.00,6.00,205.00," 10,677.33 ",0.00
0.00,7.00,196.00," 12,575.29 ",0.00
0.00,5.00,266.00," 16,432.80 ",0.00
0.00,4.00,510.00," 21,190.75 ",0.00
0.00,5.00,235.00," 10,422.60 ",0.00
0.00,3.00,99.00," 16,631.00 ",0.00
0.00,7.00,421.00," 13,254.57 ",0.00
0.00,4.00,421.00," 11,500.25 ",0.00
1.00,6.00,908.00," 10,498.33 ",0.00
1.00,6.00,43.00," 13,165.33 ",0.00
0.00,4.00,239.00," 16,114.50 ",0.00
1.00,6.00,662.00," 10,087.00 ",0.00
1.00,8.00,-638.00," 9,215.63 ",0.00
0.00,4.00,842.00," 17,803.50 ",0.00
0.00,6.00,954.00," 10,088.33 ",0.00
0.00,5.00,1102.00," 13,339.00 ",0.00
0.00,4.00,478.00," 22,257.50 ",0.00
0.00,4.00,-711.00," 9,106.25 ",0.00
0.00,5.00,559.00," 11,764.60 ",0.00
0.00,5.00,-733.00," 14,518.40 ",0.00
0.00,4.00,1153.00," 19,753.75 ",0.00
0.00,8.00,361.00," 11,083.38 ",0.00
0.00,4.00,377.00," 14,624.75 ",0.00
0.00,5.00,629.00," 19,005.00 ",0.00
0.00,2.00,-47.00," 25,322.00 ",0.00
0.00,4.00,23.00," 22,208.00 ",0.00
0.00,7.00,158.00," 9,720.00 ",0.00
0.00,3.00,401.00," 19,461.33 ",0.00
0.00,3.00,600.00," 26,428.00 ",0.00
0.00,6.00,726.00," 13,484.33 ",0.00
0.00,6.00,295.00," 15,668.50 ",0.00
0.00,8.00,916.00," 10,859.38 ",0.00
0.00,3.00,127.00," 20,439.67 ",0.00
0.00,6.00,1211.00," 13,222.17 ",0.00
0.00,7.00,82.00," 13,271.00 ",0.00
0.00,5.00,227.00," 11,960.20 ",0.00
0.00,5.00,729.00," 15,021.60 ",1.00
0.00,7.00,340.00," 9,670.86 ",0.00
0.00,5.00,-345.00," 10,077.00 ",0.00
0.00,5.00,561.00," 11,690.00 ",0.00
0.00,4.00,503.00," 18,767.50 ",1.00
0.00,4.00,296.00," 18,467.50 ",0.00
0.00,3.00,909.00," 14,511.67 ",1.00
0.00,4.00,34.00," 13,920.75 ",1.00
0.00,5.00,191.00," 11,736.20 ",0.00
0.00,4.00,587.00," 15,698.75 ",0.00
0.00,6.00,-257.00," 12,863.00 ",0.00
1.00,5.00,472.00," 13,886.00 ",0.00
0.00,4.00,-140.00," 21,616.50 ",0.00
0.00,4.00,631.00," 17,370.00 ",0.00
0.00,7.00,247.00," 12,334.86 ",0.00
0.00,8.00,265.00," 9,878.75 ",0.00
0.00,8.00,948.00," 11,813.25 ",0.00
0.00,4.00,466.00," 19,446.50 ",0.00
0.00,5.00,457.00," 13,486.00 ",0.00
0.00,6.00,437.00," 12,234.83 ",1.00
0.00,3.00,315.00," 20,067.00 ",0.00
0.00,3.00,1197.00," 16,432.00 ",0.00
1.00,4.00,306.00," 15,328.75 ",0.00
0.00,4.00,632.00," 21,113.50 ",1.00
0.00,5.00,-705.00," 17,052.40 ",0.00
0.00,2.00,254.00," 36,496.50 ",0.00
0.00,5.00,873.00," 17,953.80 ",1.00
0.00,5.00,647.00," 13,710.00 ",0.00
0.00,4.00,413.00," 15,738.75 ",0.00
0.00,5.00,21.00," 15,020.20 ",0.00
0.00,5.00,-388.00," 17,634.60 ",0.00
0.00,4.00,619.00," 13,197.75 ",0.00
0.00,5.00,364.00," 17,066.80 ",0.00
0.00,3.00,-162.00," 23,010.00 ",0.00
0.00,5.00,1165.00," 12,911.00 ",0.00
0.00,9.00,669.00," 7,381.44 ",0.00
0.00,5.00,260.00," 15,410.00 ",0.00
0.00,4.00,239.00," 21,097.00 ",0.00
0.00,4.00,-215.00," 13,216.50 ",1.00
0.00,7.00,-222.00," 6,525.71 ",0.00
0.00,3.00,760.00," 21,165.33 ",1.00
1.00,9.00,0.00," 8,732.56 ",0.00
0.00,8.00,211.00," 11,674.38 ",0.00
0.00,4.00,380.00," 13,365.75 ",1.00
0.00,6.00,1469.00," 13,846.83 ",0.00
0.00,6.00,690.00," 12,193.17 ",0.00
0.00,4.00,440.00," 18,789.25 ",0.00
0.00,5.00,44.00," 14,703.20 ",1.00
0.00,6.00,106.00," 10,909.83 ",0.00
0.00,9.00,279.00," 10,310.22 ",0.00
0.00,6.00,66.00," 13,711.83 ",0.00
0.00,5.00,-116.00," 17,744.60 ",0.00
0.00,5.00,-280.00," 14,404.00 ",0.00
0.00,5.00,366.00," 15,476.00 ",0.00
0.00,4.00,344.00," 12,693.25 ",0.00
0.00,5.00,11.00," 11,785.80 ",0.00
0.00,8.00,-221.00," 9,987.25 ",0.00
0.00,4.00,-391.00," 22,943.25 ",0.00
0.00,6.00,613.00," 10,378.50 ",0.00
1.00,4.00,333.00," 16,642.00 ",0.00
1.00,3.00,315.00," 21,026.33 ",0.00
0.00,8.00,-181.00," 10,269.75 ",0.00
0.00,6.00,527.00," 10,056.67 ",1.00
0.00,5.00,834.00," 18,594.80 ",0.00
0.00,5.00,-1186.00," 14,994.00 ",0.00
0.00,3.00,403.00," 20,744.33 ",0.00
1.00,6.00,0.00," 13,180.17 ",0.00
0.00,7.00,-218.00," 7,965.14 ",1.00
0.00,3.00,796.00," 17,880.67 ",0.00
0.00,3.00,448.00," 24,610.33 ",0.00
0.00,3.00,444.00," 29,509.33 ",0.00
0.00,6.00,-102.00," 15,678.50 ",0.00
0.00,3.00,-158.00," 12,945.67 ",0.00
1.00,3.00,485.00," 29,814.33 ",0.00
0.00,6.00,510.00," 16,263.50 ",0.00
0.00,4.00,545.00," 21,473.50 ",0.00
0.00,3.00,525.00," 17,591.67 ",0.00
0.00,2.00,-63.00," 26,772.00 ",0.00
0.00,4.00,253.00," 17,086.00 ",0.00
0.00,4.00,461.00," 19,927.00 ",0.00
0.00,6.00,90.00," 13,225.33 ",0.00
0.00,4.00,14.00," 17,806.75 ",0.00
0.00,5.00,-255.00," 8,759.00 ",1.00
0.00,2.00,-207.00," 39,993.00 ",0.00
0.00,8.00,468.00," 9,204.75 ",0.00
0.00,6.00,292.00," 12,449.50 ",0.00
0.00,4.00,1007.00," 21,087.25 ",0.00
0.00,5.00,461.00," 13,980.40 ",0.00
0.00,2.00,4.00," 35,261.50 ",0.00
0.00,4.00,155.00," 15,977.00 ",0.00
0.00,4.00,316.00," 13,433.50 ",0.00
1.00,2.00,-54.00," 25,644.00 ",0.00
0.00,5.00,879.00," 8,302.60 ",0.00
0.00,6.00,-1676.00," 11,834.17 ",0.00
0.00,3.00,-49.00," 12,839.00 ",0.00
0.00,2.00,1594.00," 25,274.50 ",0.00
0.00,8.00,586.00," 9,317.25 ",0.00
0.00,6.00,-403.00," 12,815.83 ",0.00
0.00,3.00,-109.00," 21,407.67 ",0.00
0.00,6.00,370.00," 12,925.33 ",0.00
0.00,4.00,312.00," 22,769.50 ",0.00
0.00,4.00,367.00," 18,071.75 ",0.00
0.00,5.00,1214.00," 17,300.00 ",0.00
0.00,2.00,-695.00," 35,878.50 ",0.00
0.00,6.00,-817.00," 15,477.50 ",0.00
0.00,2.00,-143.00," 39,877.50 ",0.00
0.00,8.00,-558.00," 11,862.25 ",0.00
0.00,4.00,-24.00," 21,612.75 ",0.00
1.00,7.00,1105.00," 10,610.43 ",0.00
0.00,1.00,-206.00," 79,732.00 ",0.00
1.00,3.00,496.00," 15,851.67 ",0.00
0.00,6.00,-440.00," 15,413.67 ",0.00
0.00,2.00,216.00," 44,021.00 ",0.00
0.00,4.00,-595.00," 24,578.75 ",0.00
0.00,7.00,-685.00," 11,777.71 ",0.00
0.00,4.00,515.00," 24,398.25 ",0.00
0.00,2.00,19.00," 27,348.00 ",0.00
1.00,2.00,168.00," 30,592.00 ",0.00
0.00,5.00,-247.00," 14,231.60 ",0.00
0.00,1.00,-1486.00," 80,120.00 ",0.00
0.00,6.00,441.00," 12,855.83 ",1.00
0.00,3.00,-356.00," 31,401.00 ",0.00
0.00,2.00,-556.00," 24,704.00 ",0.00
0.00,2.00,469.00," 16,356.50 ",0.00
0.00,6.00,-1131.00," 13,407.33 ",0.00
0.00,1.00,-1037.00," 60,559.00 ",0.00
0.00,5.00,-393.00," 17,890.40 ",0.00
0.00,5.00,470.00," 19,464.00 ",0.00
0.00,2.00,-657.00," 31,728.00 ",0.00
0.00,6.00,33.00," 14,577.17 ",0.00
0.00,4.00,28.00," 22,767.75 ",0.00
0.00,3.00,267.00," 23,343.00 ",0.00
1.00,1.00,-498.00," 62,846.00 ",0.00
0.00,2.00,-608.00," 22,140.50 ",0.00
0.00,6.00,-286.00," 10,010.00 ",0.00
0.00,7.00,-320.00," 7,503.71 ",0.00
0.00,3.00,348.00," 28,347.33 ",0.00
0.00,5.00,1260.00," 16,627.00 ",0.00
0.00,5.00,-124.00," 21,467.40 ",0.00
0.00,3.00,134.00," 25,632.67 ",0.00
0.00,4.00,-366.00," 17,413.50 ",0.00
0.00,4.00,461.00," 18,546.75 ",0.00
0.00,5.00,-188.00," 15,201.40 ",0.00
0.00,6.00,58.00," 12,646.33 ",0.00
0.00,5.00,-284.00," 8,887.40 ",0.00
0.00,4.00,-169.00," 21,959.75 ",0.00
0.00,4.00,278.00," 20,561.50 ",0.00
0.00,4.00,-648.00," 16,570.50 ",0.00
0.00,5.00,224.00," 17,680.00 ",0.00
1.00,7.00,-460.00," 10,950.00 ",0.00
0.00,2.00,-142.00," 30,443.00 ",0.00
0.00,3.00,419.00," 25,313.33 ",0.00
0.00,4.00,-774.00," 14,009.75 ",0.00
0.00,6.00,417.00," 8,182.83 ",0.00
0.00,2.00,-1438.00," 25,563.50 ",0.00
0.00,4.00,350.00," 19,424.25 ",0.00
0.00,5.00,-834.00," 14,443.20 ",0.00
1.00,7.00,-213.00," 12,286.14 ",0.00
0.00,9.00,-41.00," 5,224.33 ",0.00
0.00,3.00,-345.00," 22,250.00 ",0.00
0.00,3.00,-764.00," 25,455.00 ",0.00
0.00,4.00,645.00," 24,589.50 ",0.00
0.00,4.00,-383.00," 17,580.50 ",0.00
0.00,3.00,136.00," 29,700.00 ",0.00
0.00,7.00,-523.00," 10,220.29 ",0.00
0.00,2.00,427.00," 36,701.00 ",0.00
0.00,7.00,-120.00," 13,986.00 ",0.00
0.00,4.00,-850.00," 8,167.75 ",0.00
0.00,4.00,175.00," 22,354.25 ",0.00
0.00,2.00,-2185.00," 17,827.50 ",0.00
0.00,3.00,-196.00," 13,636.33 ",0.00
0.00,5.00,216.00," 14,173.60 ",0.00
0.00,2.00,544.00," 25,562.50 ",0.00
0.00,8.00,-190.00," 10,792.63 ",0.00
0.00,2.00,545.00," 27,210.50 ",0.00
0.00,9.00,-309.00," 5,606.22 ",0.00
0.00,3.00,-777.00," 27,215.33 ",0.00
0.00,6.00,328.00," 12,880.17 ",0.00
0.00,4.00,-1421.00," 15,403.00 ",0.00
0.00,3.00,-441.00," 25,953.67 ",0.00
0.00,5.00,-187.00," 15,331.80 ",0.00
0.00,1.00,271.00," 56,849.00 ",0.00
0.00,4.00,-509.00," 21,186.75 ",0.00
0.00,2.00,-1443.00," 36,045.00 ",0.00
0.00,2.00,104.00," 41,410.00 ",0.00
0.00,7.00,161.00," 11,477.29 ",0.00
0.00,6.00,-43.00," 17,968.33 ",0.00
0.00,5.00,-612.00," 22,011.00 ",0.00
0.00,5.00,-430.00," 13,341.60 ",0.00
0.00,5.00,-20.00," 10,952.00 ",0.00
0.00,2.00,-127.00," 36,996.50 ",0.00
0.00,4.00,-401.00," 16,948.75 ",0.00
0.00,5.00,-69.00," 14,317.00 ",0.00
0.00,3.00,1283.00," 25,010.33 ",0.00
0.00,5.00,-1371.00," 16,523.40 ",0.00
0.00,4.00,-910.00," 15,579.00 ",0.00
0.00,7.00,-373.00," 11,556.57 ",0.00
0.00,6.00,-382.00," 12,524.83 ",0.00
0.00,4.00,-122.00," 19,178.00 ",0.00
0.00,6.00,-142.00," 13,534.83 ",0.00
0.00,4.00,-649.00," 13,697.50 ",0.00
0.00,3.00,-110.00," 28,823.67 ",0.00
0.00,7.00,173.00," 12,137.57 ",0.00
1.00,2.00,-609.00," 39,546.00 ",0.00
0.00,7.00,-403.00," 10,175.29 ",0.00
0.00,5.00,-254.00," 5,166.00 ",0.00
1.00,7.00,134.00," 9,162.71 ",0.00
1.00,4.00,428.00," 16,101.75 ",0.00
1.00,7.00,1915.00," 13,219.57 ",0.00
0.00,5.00,517.00," 13,548.80 ",0.00
0.00,5.00,-1112.00," 19,469.20 ",0.00
0.00,4.00,1450.00," 23,763.75 ",0.00
0.00,6.00,-646.00," 10,657.33 ",0.00
0.00,5.00,-552.00," 16,542.40 ",0.00
0.00,2.00,1067.00," 41,005.00 ",0.00
0.00,5.00,1417.00," 14,047.00 ",0.00
0.00,5.00,553.00," 13,339.80 ",0.00
0.00,5.00,-549.00," 17,299.00 ",0.00
0.00,4.00,-307.00," 15,632.25 ",0.00
0.00,3.00,-214.00," 22,824.33 ",0.00
0.00,4.00,275.00," 10,139.00 ",0.00
0.00,6.00,339.00," 11,657.67 ",0.00
1.00,2.00,0.00," 40,929.00 ",0.00
0.00,5.00,0.00," 16,367.00 ",0.00
1.00,6.00,0.00," 14,271.50 ",0.00
0.00,5.00,1277.00," 10,658.40 ",0.00
1.00,4.00,282.00," 20,132.75 ",0.00
0.00,4.00,910.00," 18,394.00 ",0.00
0.00,5.00,235.00," 12,304.80 ",0.00
1.00,7.00,0.00," 9,197.29 ",0.00
1.00,4.00,335.00," 20,501.75 ",0.00
0.00,6.00,1051.00," 15,942.83 ",0.00
0.00,2.00,-464.00," 23,831.00 ",0.00
1.00,7.00,-770.00," 10,030.57 ",0.00
1.00,3.00,0.00," 29,746.67 ",0.00
1.00,3.00,1058.00," 29,916.67 ",0.00
0.00,3.00,-531.00," 15,197.67 ",0.00
0.00,2.00,-318.00," 25,305.00 ",0.00
0.00,2.00,834.00," 27,922.00 ",0.00
0.00,4.00,-284.00," 15,526.75 ",0.00
0.00,2.00,41.00," 29,101.50 ",0.00
0.00,2.00,-358.00," 32,855.50 ",0.00
0.00,4.00,-451.00," 22,088.25 ",0.00
0.00,3.00,2487.00," 25,892.67 ",0.00
0.00,3.00,1136.00," 20,737.33 ",0.00
0.00,3.00,-176.00," 25,434.00 ",0.00
1.00,5.00,45.00," 14,746.20 ",0.00
1.00,5.00,-16.00," 18,377.60 ",0.00
1.00,6.00,-396.00," 7,706.17 ",0.00
0.00,4.00,1501.00," 17,205.00 ",0.00
0.00,3.00,603.00," 19,878.00 ",0.00
0.00,5.00,57.00," 14,085.00 ",0.00
0.00,3.00,-382.00," 21,253.67 ",0.00
1.00,6.00,-30.00," 14,696.00 ",0.00
1.00,7.00,58.00," 10,787.57 ",0.00
0.00,3.00,236.00," 20,375.33 ",0.00
0.00,7.00,-111.00," 10,590.57 ",0.00
1.00,6.00,105.00," 11,798.00 ",0.00
0.00,5.00,-1991.00," 12,567.60 ",0.00
0.00,4.00,0.00," 18,908.75 ",0.00
0.00,5.00,-113.00," 19,403.20 ",0.00
0.00,2.00,-410.00," 34,985.50 ",0.00
0.00,2.00,1512.00," 31,514.50 ",0.00
0.00,4.00,1863.00," 20,176.50 ",0.00
0.00,3.00,-465.00," 16,598.00 ",0.00
0.00,4.00,476.00," 19,858.75 ",0.00
0.00,4.00,-87.00," 14,169.00 ",0.00
1.00,5.00,0.00," 13,677.40 ",0.00
0.00,5.00,467.00," 11,218.40 ",1.00
0.00,8.00,62.00," 11,009.00 ",0.00
1.00,3.00,-227.00," 17,071.67 ",0.00
1.00,4.00,0.00," 18,520.00 ",0.00
0.00,5.00,2351.00," 10,911.60 ",0.00
1.00,2.00,0.00," 36,017.50 ",0.00
1.00,3.00,-243.00," 20,019.67 ",0.00
0.00,5.00,69.00," 11,197.20 ",0.00
1.00,2.00,59.00," 33,289.00 ",0.00
1.00,5.00,244.00," 16,372.40 ",0.00
1.00,5.00,174.00," 14,738.60 ",0.00
0.00,4.00,326.00," 13,630.50 ",0.00
1.00,4.00,0.00," 19,364.00 ",0.00
1.00,4.00,600.00," 13,572.50 ",0.00
0.00,6.00,1001.00," 13,084.67 ",0.00
0.00,2.00,-194.00," 31,854.50 ",0.00
0.00,3.00,-184.00," 24,461.00 ",0.00
1.00,6.00,0.00," 9,011.50 ",0.00
0.00,6.00,-318.00," 15,107.17 ",0.00
1.00,6.00,0.00," 11,567.83 ",0.00
0.00,6.00,112.00," 13,017.67 ",0.00
0.00,8.00,-88.00," 5,589.63 ",0.00
0.00,4.00,1124.00," 16,014.00 ",0.00
0.00,8.00,-37.00," 9,784.75 ",0.00
0.00,5.00,975.00," 17,574.60 ",0.00
1.00,6.00,0.00," 15,305.00 ",0.00
0.00,5.00,1090.00," 17,371.60 ",0.00
0.00,3.00,639.00," 26,286.33 ",1.00
0.00,4.00,0.00," 19,708.00 ",0.00
0.00,3.00,358.00," 19,194.33 ",0.00
0.00,5.00,1582.00," 12,887.20 ",0.00
0.00,6.00,664.00," 11,035.33 ",0.00
0.00,5.00,101.00," 15,723.20 ",0.00
0.00,3.00,1879.00," 17,928.67 ",0.00
1.00,6.00,0.00," 15,479.50 ",0.00
0.00,2.00,501.00," 43,406.00 ",0.00
1.00,6.00,0.00," 13,730.33 ",0.00
0.00,4.00,369.00," 15,939.00 ",0.00
1.00,2.00,0.00," 36,334.00 ",0.00
0.00,5.00,0.00," 15,642.60 ",0.00
0.00,5.00,-134.00," 16,597.80 ",0.00
0.00,3.00,582.00," 19,632.33 ",0.00
1.00,4.00,0.00," 18,711.00 ",0.00
1.00,6.00,0.00," 10,622.00 ",0.00
0.00,5.00,131.00," 14,737.60 ",0.00
0.00,2.00,626.00," 36,424.50 ",0.00
0.00,2.00,0.00," 43,729.50 ",0.00
0.00,6.00,1224.00," 15,962.67 ",0.00
0.00,3.00,1066.00," 24,877.67 ",0.00
0.00,2.00,491.00," 26,581.50 ",0.00
0.00,5.00,-415.00," 14,361.80 ",0.00
0.00,3.00,756.00," 20,281.00 ",0.00
1.00,6.00,0.00," 6,565.00 ",0.00
0.00,5.00,43.00," 14,221.00 ",0.00
0.00,3.00,897.00," 24,671.33 ",0.00
1.00,2.00,0.00," 37,805.50 ",0.00
1.00,8.00,0.00," 7,125.00 ",0.00
0.00,5.00,100.00," 11,258.00 ",0.00
0.00,4.00,108.00," 16,648.50 ",0.00
1.00,3.00,0.00," 23,408.00 ",0.00
0.00,3.00,-495.00," 16,643.33 ",0.00
1.00,6.00,0.00," 13,431.50 ",0.00
1.00,3.00,0.00," 19,144.33 ",0.00
0.00,4.00,1081.00," 15,464.00 ",0.00
0.00,2.00,682.00," 32,807.50 ",1.00
0.00,4.00,936.00," 20,906.00 ",0.00
0.00,4.00,57.00," 20,412.75 ",0.00
0.00,3.00,658.00," 24,077.33 ",0.00
