IsBadBuy,VehicleAge,VehOdo,MMRAcquisitionAuctionAveragePrice,IsGermanVeh
0,8,94506,3369,0
0,4,77786,8075,0
0,5,67430,3443,0
0,6,73409,5723,0
0,3,60201,6608,0
0,3,49296,8531,0
1,4,61315,6860,0
0,4,84454,6487,0
0,5,85262,6373,0
0,2,72993,9034,0
0,5,89769,4083,0
0,5,68550,4299,0
0,4,62955,9620,0
0,5,75101,4245,0
0,5,88173,7160,0
0,4,52791,7193,0
0,5,85334,7592,0
0,3,69030,8088,0
0,5,64555,6295,0
0,9,66433,2295,0
0,5,77050,7014,0
0,4,84388,9079,0
0,4,52866,7099,0
0,7,45680,2839,0
0,3,63496,7386,0
1,9,78593,3242,0
0,8,93395,2773,0
0,4,53463,4169,0
0,6,83081,5736,0
0,6,73159,6630,0
0,4,75157,6963,0
0,5,73516,3656,0
0,6,65459,3923,0
0,9,92792,3267,0
0,6,82271,5462,0
0,5,88723,3359,0
0,5,72020,4063,0
0,5,77380,4273,0
0,4,50773,5174,0
0,5,58929,3359,0
0,8,79898,2739,0
0,4,91773,8037,0
0,6,62271,6277,0
1,4,66568,5108,0
1,3,63079,6340,0
0,8,82158,5302,0
0,6,60340,4203,0
0,5,92974,6218,0
0,5,74970,5173,0
0,3,62233,12693,0
1,6,79081,4017,0
0,7,55756,2089,0
0,3,53642,6841,0
0,3,73831,8044,0
0,3,88528,7814,0
0,6,94071,2992,0
0,3,38837,6976,0
1,3,89443,6976,0
0,6,97581,3044,0
0,4,85894,6654,0
0,3,52775,9089,0
0,2,53544,6308,0
0,4,68344,3405,0
0,4,79708,4564,0
0,6,79352,3761,0
0,4,71227,5785,0
0,5,43795,4833,0
0,2,79986,9910,0
0,8,73638,3893,0
0,6,74697,4876,0
0,4,84349,6867,0
0,5,69902,5904,0
0,2,70523,8293,0
0,4,63908,8210,0
0,4,53734,5899,0
1,2,51288,8993,0
0,5,41513,3922,0
0,6,71005,2176,0
0,3,38517,4109,0
0,2,50549,7742,0
0,8,74538,3827,0
0,6,76895,3313,0
0,3,64223,10213,0
0,6,77552,2118,0
0,4,91078,6171,0
0,4,72287,7383,0
0,5,86500,7244,0
0,2,71757,10404,0
0,6,92865,4294,0
0,2,79755,7646,0
0,8,94898,2756,0
0,4,86451,8000,0
1,7,74273,5336,0
0,1,79732,9632,0
1,3,47555,8875,0
0,6,92482,7065,0
0,2,88042,7127,0
0,4,98315,5778,0
0,7,82444,2152,0
0,4,97593,6060,0
0,2,54696,7646,0
1,2,61184,6796,0
0,5,71158,5134,0
0,1,80120,9900,0
0,6,77135,2595,0
0,3,94203,6672,0
0,2,49408,5445,0
0,2,32713,8052,0
0,6,80444,5560,0
0,1,60559,9944,0
0,5,89452,7993,0
0,5,97320,6601,0
0,2,63456,8015,0
0,6,87463,2556,0
0,4,91071,12388,0
0,3,70029,7655,0
1,1,62846,11510,0
0,2,44281,8169,0
0,6,60060,5224,0
0,7,52526,5529,0
0,3,85042,7655,0
0,5,83135,7523,0
0,5,107337,3765,0
0,3,76898,5798,0
0,4,69654,7067,0
0,4,74187,8258,0
0,5,76007,7979,0
0,6,75878,5584,0
0,5,44437,5017,0
0,4,87839,4529,0
0,4,82246,5629,0
0,4,66282,5036,0
0,5,88400,4349,0
1,7,76650,3258,0
0,2,60886,7487,0
0,3,75940,6935,0
0,4,56039,5335,0
0,6,49097,3737,0
0,2,51127,8662,0
0,4,77697,7548,0
0,5,72216,4318,0
1,7,86003,2747,0
0,9,47019,1788,0
0,3,66750,9899,0
0,3,76365,7093,0
0,4,98358,5619,0
0,4,70322,4390,0
0,3,89100,7454,0
0,7,71542,2236,0
0,2,73402,10782,0
0,7,97902,4014,0
0,4,32671,6210,0
0,4,89417,8466,0
0,2,35655,7242,0
0,3,40909,9899,0
0,5,70868,5178,0
0,2,51125,8000,0
0,8,86341,2718,0
0,2,54421,7597,0
0,9,50456,3011,0
0,3,81646,6041,0
0,6,77281,4476,0
0,4,61612,6062,0
0,3,77861,5037,0
0,5,76659,4307,0
0,1,56849,10045,0
0,4,84747,5906,0
0,2,72090,12166,0
0,2,82820,9150,0
0,7,80341,3678,0
0,6,107810,3627,0
0,5,110055,3223,0
0,5,66708,7182,0
0,5,54760,3223,0
0,2,73993,8007,0
0,4,67795,4324,0
0,5,71585,3229,0
0,3,75031,15245,0
0,5,82617,5610,1
0,4,62316,4462,0
0,7,80896,2319,0
0,6,75149,4784,0
0,4,76712,5969,0
0,6,81209,6694,0
0,4,54790,5998,0
0,3,86471,7422,0
0,7,84963,5760,0
1,2,79092,9954,0
0,7,71227,2881,0
0,5,25830,3384,0
1,7,64139,3680,0
1,4,64407,7533,0
1,7,92537,1915,0
0,5,67744,5450,0
0,5,97346,3806,0
0,4,95055,9883,0
0,6,63944,5255,0
0,5,82712,2026,0
0,2,82010,17110,0
0,5,70235,4881,0
0,5,66699,4401,0
0,5,86495,3054,0
1,4,52492,3885,0
0,4,62529,6552,0
0,3,68473,6707,0
0,4,40556,4792,0
0,6,69946,4107,0
1,2,81858,0,0
0,5,81835,5650,0
1,6,85629,8768,0
0,5,53292,5884,0
1,4,80531,5497,0
0,4,73576,8780,0
0,5,61524,6539,0
1,7,64381,4747,0
1,4,82007,4602,0
0,6,95657,7884,0
0,2,47662,9846,0
1,7,70214,1708,0
1,3,89240,9472,0
1,3,89750,6867,0
0,3,45593,7583,0
0,2,50610,10897,0
0,2,55844,6770,0
0,4,62107,2596,0
0,2,58203,9163,0
0,2,65711,7182,0
0,4,88353,4521,0
0,3,77678,9512,0
0,3,62212,7321,0
0,3,76302,4582,0
1,5,73731,3501,0
1,5,91888,3836,0
1,6,46237,2414,0
0,4,68820,8692,0
0,3,59634,6006,0
0,5,70425,2948,0
0,3,63761,6821,0
1,6,88176,5524,0
1,7,75513,2743,0
0,3,61126,5355,0
0,7,74134,1623,0
1,6,70788,5524,0
0,5,62838,3842,0
0,4,75635,6319,0
0,5,97016,6606,0
0,2,69971,8603,0
0,2,63029,9163,0
0,4,80706,9107,0
0,3,49794,4372,0
0,4,79435,5566,0
0,4,56676,4278,0
1,5,68387,2938,0
0,5,56092,3483,0
0,8,88072,2506,0
1,3,51215,6976,0
1,4,74080,6789,0
0,5,54558,7203,0
1,2,72035,6894,0
1,3,60059,4496,0
0,5,55986,3253,0
1,2,66578,9790,0
1,5,81862,3652,0
1,5,73693,2761,0
0,4,54522,5127,0
1,4,77456,9499,0
1,4,54290,3569,0
0,6,78508,3720,0
0,2,63709,7425,0
0,3,73383,5698,0
1,6,54069,2885,0
0,6,90643,3132,0
1,6,69407,7054,0
0,6,78106,3364,0
0,8,44717,2231,0
0,4,64056,5829,0
0,8,78278,3194,0
0,5,87873,7935,0
1,6,91830,6276,0
0,5,86858,5074,0
0,3,78859,8008,0
0,4,78832,4054,0
0,3,57583,5190,0
0,5,64436,8989,0
0,6,66212,3219,0
0,5,78616,3216,0
0,3,53786,7870,0
1,6,92877,2782,0
0,2,86812,7559,0
1,6,82382,5515,0
0,4,63756,6853,0
1,2,72668,9725,0
0,5,78213,4899,0
0,5,82989,6891,0
0,3,58897,8574,0
1,4,74844,9321,0
1,6,63732,3453,0
0,5,73688,6657,0
0,2,72849,7113,0
0,2,87459,0,0
0,6,95776,7943,0
0,3,74633,8843,0
0,2,53163,5962,0
0,5,71809,4946,0
0,3,60843,11149,0
1,6,39390,3944,0
0,5,71105,5593,0
0,3,74014,7308,0
1,2,75611,5958,0
1,8,57000,3786,0
0,5,56290,3475,0
0,4,66594,4356,0
1,3,70224,4927,0
0,3,49930,3816,0
1,6,80589,3199,0
1,3,57433,5270,0
0,4,61856,8340,0
0,2,65615,7209,0
0,4,83624,8552,0
0,4,81651,9716,0
0,3,72232,7102,0
0,7,41852,3939,0
1,4,60770,7153,0
0,5,78416,8474,0
0,3,78619,5370,0
0,4,86182,5348,0
0,3,83610,5520,0
1,4,81352,6970,0
0,2,56289,8992,0
1,4,67234,9519,0
0,6,74614,6708,0
0,3,67407,7709,0
1,7,88193,5326,0
0,5,88263,3823,0
0,4,51023,5091,0
0,2,85364,7496,0
0,6,68678,7539,0
0,4,74312,11260,0
0,3,64492,8454,0
0,4,55396,5011,0
0,4,86258,5338,0
0,6,81025,3911,0
0,3,73539,8254,0
0,6,56934,3489,0
1,7,66550,5931,0
0,4,34777,5338,0
0,6,54894,4945,0
0,3,50835,6297,0
0,4,43697,4426,0
0,5,65630,4660,0
0,3,40379,5469,0
0,4,65065,7704,0
0,4,68899,7704,0
0,4,83176,5334,0
0,2,59998,9085,0
0,3,57080,8761,0
0,6,83563,9276,0
0,4,70838,5545,0
0,2,72549,12086,0
1,4,61251,5876,0
1,5,75406,6900,0
0,6,83703,8097,0
0,5,80838,7874,0
0,6,79020,3766,0
1,5,61935,4200,0
0,6,44183,7080,0
0,5,80303,7066,0
0,5,63774,7478,0
0,4,55727,6922,0
0,4,58626,5524,0
0,4,88700,3926,0
0,6,56259,2781,0
0,5,79328,11320,0
0,4,42558,5103,0
1,5,84663,3877,0
0,3,72159,11586,0
0,5,88170,5092,0
1,5,82564,4575,0
0,6,61475,5412,0
0,4,69967,7070,0
1,5,65911,7507,0
1,7,46648,2900,0
0,8,94452,6706,0
1,9,65979,1815,0
0,6,74990,3132,0
1,4,87344,5760,0
0,6,79138,7238,0
0,5,70734,4343,0
0,4,68373,5400,0
0,4,58378,7008,0
0,4,59741,6336,0
0,5,97627,7149,0
0,4,87892,7511,0
1,5,76203,8260,0
0,6,69857,6539,0
0,6,75982,7118,0
0,7,97399,3997,0
0,8,95864,2252,0
1,5,53035,7444,0
0,7,76322,8348,0
0,5,61538,7304,0
0,6,74655,7445,0
0,5,82543,3884,0
0,4,62602,6617,0
0,4,80135,4991,0
0,4,62070,8590,0
0,5,77870,6639,0
0,4,81270,7470,0
0,3,60403,7349,0
1,5,81495,9002,0
1,8,92263,6125,0
0,9,90703,3152,0
0,4,71142,7111,0
0,3,77246,8285,0
0,5,97341,9692,0
0,8,34858,3942,0
0,9,88379,4533,0
0,6,34095,3500,0
1,5,61966,5223,0
0,4,70295,6269,0
0,4,86204,7933,0
0,5,52257,4063,0
0,8,74734,2602,0
0,5,83066,3609,0
0,8,73525,3183,0
0,8,74398,5913,0
0,3,71158,6593,0
1,6,83292,7034,0
0,8,80228,4344,0
0,6,81188,8329,0
0,4,86677,5810,0
0,3,42835,5919,0
0,3,60885,7838,0
1,7,98674,2788,0
0,8,82121,3795,0
0,3,89062,7514,0
0,5,70786,7735,0
0,6,80195,6626,0
0,3,77890,7443,0
0,5,54557,9293,0
1,6,92589,5149,0
1,3,48508,8516,0
0,5,48952,4348,0
0,5,70735,4076,0
0,5,86168,7514,0
1,4,80814,10022,0
0,4,61239,7535,0
1,5,75399,2935,0
0,5,71094,4178,0
0,8,84685,5455,0
0,6,66455,3762,0
0,7,74481,5405,0
1,9,74145,2010,0
0,4,71220,5922,0
0,9,79419,3858,0
0,6,92219,3658,0
0,6,63376,5630,0
0,2,56542,11156,0
0,4,80361,9178,0
0,2,49688,10007,0
0,4,65259,9835,0
0,5,71965,7882,0
0,3,82343,10764,0
0,4,80503,7328,0
0,4,83528,5534,0
0,5,64470,3979,0
0,4,61889,9537,0
0,8,96902,3810,0
0,6,83285,6966,0
0,4,78035,6379,0
0,4,65743,7638,0
0,8,57728,3479,0
0,5,83246,7954,0
0,3,87641,10393,0
0,4,63518,9679,0
0,4,98507,5517,0
0,6,40593,3064,0
1,4,94719,6337,0
0,8,62735,2212,0
0,4,65367,6454,0
1,4,86215,7490,0
0,4,73323,6240,0
0,4,61703,8025,0
0,3,57128,7739,0
0,7,97543,4849,0
0,3,69022,6750,0
0,6,60947,6732,0
1,3,73976,5504,0
0,3,56391,4861,0
0,3,76192,11324,0
0,4,63260,4889,0
1,3,68048,10422,0
0,7,67223,5823,0
0,4,78244,6787,0
1,6,83560,6744,0
0,2,62605,9017,0
0,7,81155,5059,0
0,5,64126,8138,0
0,5,77072,10563,0
0,5,74780,7429,0
0,6,51122,4794,0
1,7,71671,5859,0
0,4,95552,10008,0
0,6,64238,4197,0
0,5,77652,9619,0
1,6,86122,6722,0
0,4,52863,4235,0
0,2,61996,7723,0
1,5,59477,3184,0
1,6,91720,8286,0
1,4,65535,4450,0
1,5,70040,6708,0
0,3,72222,NULL,0
0,4,80584,9296,0
0,8,81645,8260,0
0,2,79547,6373,0
0,4,75091,8405,0
0,8,80347,2303,0
0,3,71489,5696,0
0,8,81627,2054,0
0,4,46778,6299,0
1,6,83248,6452,0
1,4,58938,4040,0
1,8,94019,4231,0
0,2,62801,9021,0
0,4,84631,8372,0
0,3,82994,7888,0
0,5,86575,4196,0
0,4,73253,9186,0
0,6,83091,6271,0
1,4,81264,6328,0
0,6,73344,5501,0
0,3,57103,8059,0
0,3,83667,5287,0
0,2,74214,10232,0
0,2,51764,7621,0
0,5,49017,4016,0
0,6,80959,5264,0
0,3,76263,5597,0
0,7,74618,2284,0
0,6,75777,3098,0
0,7,74948,5364,0
0,6,57740,3322,0
0,4,64979,4647,0
0,7,91080,7682,0
0,4,73308,6390,0
0,3,89102,7822,0
0,6,59084,3823,0
1,5,67007,3091,0
0,3,76746,9007,0
0,5,67375,3345,0
0,4,40307,4597,0
0,5,86702,5278,0
0,5,60267,6910,0
0,3,70819,7571,0
0,5,69734,4392,0
0,6,65042,5902,0
0,4,75861,6035,0
0,6,73496,6560,0
0,4,85836,6341,0
0,3,65215,7724,0
0,7,96160,4813,0
0,6,83241,5875,0
0,5,71074,6824,0
0,9,90030,1822,0
0,5,86497,5627,0
0,7,85383,3569,0
0,3,69072,5725,0
0,5,84788,3472,0
0,5,82401,3221,0
0,4,69509,8997,0
0,4,85621,6031,0
0,5,70424,3357,0
0,5,58482,6267,0
0,6,87192,7435,0
0,7,85009,4811,0
0,8,45864,3595,0
0,4,94287,5648,0
0,6,86024,3299,0
0,3,80130,9140,0
0,5,68414,5478,0
1,5,82187,3255,0
0,6,73953,5870,0
0,3,70971,7441,0
1,3,55624,5836,0
0,5,64495,4663,0
0,3,69878,4817,0
0,4,103035,4560,0
1,7,58074,2863,0
0,5,66151,4452,0
1,7,69215,1443,0
0,4,83752,3706,0
0,2,48895,4264,0
0,4,41894,4862,0
0,2,67835,6228,0
0,4,89858,6725,0
0,4,69424,0,0
0,2,40658,10513,0
0,3,49060,5811,0
0,3,87256,6547,0
0,4,61962,3783,0
0,4,81449,6644,0
0,4,65954,4424,0
0,2,58726,5451,0
1,3,54912,4810,0
1,6,95298,2488,0
0,7,81605,4405,0
0,4,67131,5653,0
0,4,70573,4813,0
0,4,66170,2185,0
0,4,83126,7892,0
0,5,90938,2766,0
0,3,59764,5142,0
0,3,61817,7231,0
0,7,91082,4818,0
0,4,31845,5060,0
0,6,62642,3739,0
0,6,96216,5296,0
1,4,71672,8080,0
0,3,73498,7622,0
0,3,55135,8669,0
1,3,44405,9150,0
0,3,69289,9186,0
0,4,62905,3354,0
0,3,73179,5659,0
0,3,83465,8790,0
0,3,73628,8669,0
0,3,62571,7431,0
1,3,59000,4390,0
0,3,74015,6752,0
0,1,83837,10408,0
0,4,78348,3769,0
1,3,66653,11223,0
0,4,88324,4738,0
0,6,62269,4460,0
0,4,52531,3252,0
0,3,78991,7091,0
0,4,81872,4404,0
0,3,57950,6539,0
0,3,71607,5229,0
0,3,74428,4947,0
1,3,67821,7374,0
0,2,85909,9793,0
0,2,65035,4761,0
0,2,73665,6659,0
0,4,86421,3874,0
0,5,73730,4767,0
0,3,92236,9064,0
0,4,91828,9906,0
0,4,72169,3471,0
0,3,40113,5097,0
0,5,84500,4352,0
0,4,63232,6333,0
0,3,74114,6211,0
0,5,76269,5319,0
0,2,65345,7533,0
1,6,81996,2754,0
1,6,94174,5598,0
1,4,72070,2931,0
0,5,86710,5076,0
0,3,71367,9095,0
0,4,66730,3985,0
0,3,52501,8155,0
0,6,84329,2306,0
0,5,77035,6856,0
0,3,78697,5363,0
1,4,63589,3948,0
0,3,79346,8542,0
0,2,72544,7399,0
0,5,74455,5677,0
0,4,81212,3537,0
0,4,85376,3176,0
0,2,57804,8871,0
0,3,70385,8790,0
0,3,69471,6539,0
0,1,78035,12696,0
0,3,74416,8935,0
0,7,57032,5229,0
0,2,52656,7431,0
0,3,86988,8712,0
0,3,61296,10339,0
0,2,88084,10551,0
0,4,73643,6099,0
0,3,50595,8289,0
1,5,71669,2884,0
0,3,73478,8450,0
0,2,55983,10016,0
0,2,82456,8725,0
0,2,86439,11941,0
0,2,69137,10866,0
0,3,87512,6308,0
0,2,81727,9744,0
0,1,62888,10445,0
0,3,74787,6308,0
0,2,47866,6196,0
0,1,69177,7814,0
0,2,89305,7046,0
0,1,69191,7529,0
1,2,62845,5460,0
0,3,89243,6867,0
0,3,40236,5140,0
0,2,92402,6487,0
0,3,89383,5812,0
0,2,42870,5486,0
1,6,74296,2836,0
0,3,78224,6560,0
0,2,66256,7609,0
0,3,77885,6959,0
1,6,93730,2400,0
0,1,75447,10343,0
0,4,87142,3764,0
0,5,87408,5503,0
0,3,60442,5693,0
0,2,90667,11490,0
1,8,75719,5158,0
0,3,77621,10577,0
0,6,95298,3274,0
0,4,47120,4720,0
0,3,53554,5197,0
1,7,82202,3881,0
1,6,50515,2741,0
0,4,65572,5143,0
0,5,46615,3648,0
0,4,78900,4404,0
0,5,72444,4177,0
0,6,57694,3509,0
0,3,49928,5359,0
0,7,75500,2762,0
0,6,80098,3287,0
0,6,79107,3400,0
0,3,59007,5488,0
1,5,70519,5862,0
0,3,64344,5783,0
0,4,56510,3745,0
0,3,41522,5599,0
0,6,80811,4316,0
0,4,70925,5174,0
1,6,66309,3426,0
0,5,79687,4237,0
0,6,81712,2276,0
0,4,78107,6117,0
0,4,41877,4190,0
0,3,62006,9502,0
0,5,87274,2831,0
0,6,51656,3289,0
0,4,78724,8945,0
1,4,68134,6228,0
0,2,83549,8936,0
0,3,50870,4979,0
0,5,96257,3395,0
0,6,79345,5085,0
0,8,98027,5421,0
1,5,65614,6944,0
0,6,85139,3976,0
1,3,48898,9926,0
0,4,82541,5018,0
0,4,68585,9120,0
0,4,72383,4436,0
0,3,80188,7566,0
0,3,35790,5784,0
0,2,55961,7017,0
0,4,63353,6821,0
0,6,65957,2211,0
1,4,75763,6391,0
0,7,74434,8145,0
0,5,58607,4024,0
0,4,77077,6865,0
1,4,64734,6468,0
0,6,71823,4434,0
1,3,69844,7861,0
1,5,89196,4550,0
1,4,39467,5455,0
0,4,66801,8378,0
0,3,44397,7254,0
0,3,83012,8090,0
0,5,87227,5368,0
0,4,65890,5593,0
0,3,65237,7161,0
0,2,79056,9038,0
0,2,76708,13945,0
0,5,59237,6292,0
0,3,74010,7655,0
0,4,65841,6911,0
0,5,61134,4095,0
0,3,81858,8843,0
0,4,95978,7452,0
0,6,69119,6849,0
0,5,76909,5157,0
0,4,70171,10919,0
1,4,75822,4033,0
1,3,57929,6598,0
1,4,75581,4054,0
0,3,74161,7192,0
0,6,79110,6988,0
0,5,69795,8130,0
0,5,84150,7026,0
1,4,59492,5119,0
0,4,39944,4054,0
0,3,36844,7420,0
0,4,63786,5556,0
0,7,88634,3725,0
0,4,76694,5393,0
0,3,60644,8149,0
0,3,61019,6462,0
0,6,38055,2886,0
0,4,63765,6774,0
0,6,91893,3972,0
0,3,83709,7835,0
1,3,59050,7812,0
1,5,75976,3694,0
0,2,78200,10976,0
0,4,84728,6720,0
0,3,30013,3966,0
0,4,54350,5826,0
0,2,60700,11601,0
0,2,51548,8280,0
0,3,59702,11187,1
0,7,86141,5447,0
0,7,61251,2909,0
0,2,89404,11426,0
1,6,80674,3549,0
0,2,46523,8732,0
0,2,80272,9608,0
0,4,82231,7246,0
0,3,59287,11456,0
0,5,73591,6664,0
0,4,66551,8465,0
1,4,72373,8394,0
1,3,87903,6683,0
0,2,49139,8665,0
0,5,95950,3851,0
0,6,71542,3266,0
0,3,50166,9364,0
1,7,95188,6620,0
0,5,74743,3048,0
0,5,75322,9310,0
1,3,63806,5454,0
0,4,72973,10087,0
0,4,67860,6601,0
0,4,49058,5164,0
0,4,72988,4795,0
1,3,59279,6340,0
0,3,77418,8389,0
1,5,89156,7832,0
0,7,85716,2775,0
0,4,75230,6414,0
0,5,83474,7546,0
1,5,68591,3043,0
0,6,87727,3371,0
0,4,70794,7084,0
1,6,89462,3251,0
0,3,81385,5686,0
1,3,88431,7889,0
0,5,67115,3432,0
0,5,58201,2571,0
0,5,83775,5827,0
1,5,72569,6000,0
0,6,109909,2114,0
0,5,72495,4363,0
1,7,107420,3828,0
0,4,62851,7997,0
0,5,89805,6763,0
0,7,94064,3488,0
0,2,78545,7895,0
0,4,88078,3494,0
0,5,84366,7198,0
0,7,71868,4637,0
0,5,96374,4115,0
0,6,93415,0,0
0,5,56740,6931,0
0,8,89922,3698,0
0,7,109967,3007,0
0,3,70988,4105,0
1,6,96014,3909,0
0,6,85930,0,0
0,5,86166,6195,0
0,6,89132,3445,0
0,8,80355,3316,0
0,4,88391,8188,0
0,5,89458,4155,0
0,2,59807,7835,0
1,5,104861,3667,0
0,6,94813,6332,0
0,4,84477,3623,0
0,3,74080,9764,0
0,6,109133,3419,0
1,9,105963,2328,0
0,4,81313,4688,0
0,7,74467,4839,0
0,3,54514,4005,0
0,3,81790,7920,0
0,6,88345,3110,0
1,8,90244,2744,0
0,5,61523,3336,0
1,9,72648,2549,0
0,4,65420,4546,0
1,2,72722,6481,0
0,4,104726,4123,0
0,9,70411,2767,0
1,8,107151,2525,0
1,3,88362,7839,0
1,8,84579,1831,0
1,7,107450,2518,0
0,5,80716,8400,0
0,8,108538,2324,0
1,7,82942,2757,0
1,4,61508,7002,0
0,5,84820,7064,0
0,6,104368,3402,0
0,4,86275,5963,0
1,8,87165,1719,0
0,3,83073,8923,0
0,8,99060,3771,0
0,6,103219,2936,0
0,8,88344,4450,0
0,9,105350,2018,0
0,6,72725,4546,0
0,8,90378,3626,0
1,7,95048,3112,0
0,3,94248,10345,0
0,5,84645,5469,0
0,6,91992,7329,0
0,4,84105,8548,0
0,6,87237,3331,0
0,3,70704,6985,0
0,5,73324,5875,0
0,4,81319,6426,0
0,5,95167,4280,0
0,4,90159,6338,0
0,2,77855,16571,0
0,3,93920,7032,0
0,3,82741,6237,0
0,5,88708,3918,0
0,3,78126,7069,0
